date,Unnamed: 0,QOIL,QWAT,QWIN,WEFA,QLIQ,WCT,SQLIQ,SWCT,SOIL,BHPH,SBHPH,THPH,STHPH,SPROD,PROD
1974-10-01,498461.0,37.746806,2.7137095,0.0,1.0,55.081497000000006,0.1052510030808902,56.86007443632286,0.0557291952415707,38.14358824018436,118.651575,129.29776887626812,155.128575,159.5112752507576,2.892899494461195,
1974-11-01,499358.0,37.166086,3.366667,0.0,0.983333,53.134727,0.11756306896474139,57.79116681218056,0.0549246965999862,37.72497825767129,127.2642,129.92650706283771,166.12233750000001,159.4122442940378,2.8342927372603643,3.6303396524470477
1974-12-01,498463.0,39.488966,3.129032,0.0,1.0,57.329924000000005,0.1291675327926164,57.21017748344661,0.0566273513021943,38.12998176353876,129.49335000000002,130.77135997581425,163.639875,159.6898683512362,2.7323703473999776,3.813041445161572
1975-01-01,499808.0,36.004646,3.048387,0.0,1.0,51.826053,0.12107133632915676,59.76963120993841,0.060476471112131544,39.194597791160426,137.802,130.43881710296594,165.463725,159.84085535745962,2.7768040886604872,3.5008103833277064
1975-02-01,501153.0,38.109756,3.857143,0.0,1.0,61.749129,0.1209428567785793,61.864354410930304,0.0689472786556699,40.905837570266975,143.8308375,129.8187407445144,157.6110375,159.60397511157996,2.9062181513522147,7.173321108219319
1975-03-01,500706.0,37.746806,4.112902999999999,0.0,1.0,57.9570825,0.1300969223986313,61.35568856833979,0.0752272235253337,39.95717468525105,144.33746250000002,129.65672032880778,158.8776,160.05878179922075,3.134176234792988,
1975-04-01,501155.0,44.134727,4.433333,0.0,1.0,62.397445000000005,0.13771961275661035,66.94627546362625,0.0763638669663543,42.474426005141375,141.348375,129.93612427128045,183.499575,159.7534506358533,3.073464441271984,0.17401156495170467
1975-05-01,499812.0,38.908246,4.467741999999999,0.0,1.0,59.181391,0.14652984302804595,67.19851241283692,0.08407442554565075,41.86136372389567,139.62585,128.9079144185696,162.9812625,160.2744274622396,3.120475634054171,4.25245306676896
1975-06-01,501157.0,38.327526,4.8,0.0,1.0,61.709175,0.1530367215310845,64.95674462180037,0.0911153691023524,40.240906857703,131.621175,127.66950000145891,161.51205,159.96828820562519,3.062082289861696,2.9898287319203205
1975-07-01,499366.0,37.166086,3.677419,0.0,1.0,58.291971,0.1532283513776309,59.39432790446895,0.0891653232386554,40.66456435457096,135.3702,126.6059219291396,155.939175,159.99553381730124,3.0583105369163475,5.188485116377244
1975-08-01,500263.0,37.166086,3.741935,0.0,1.0,60.006743,0.1529244540957911,61.330860510464646,0.0832395114252852,38.05820039991768,116.3211,127.55537868144764,162.12,158.45049502675033,3.202298705764803,2.168661004766073
1975-09-01,500712.0,37.166086,3.4,0.0,1.0,63.889954,0.1531720964196701,63.36332788087006,0.08947654344799935,36.44087892216356,134.76225,126.91667000024032,175.393575,158.39987197254632,3.129165698298308,6.838788066378739
1975-10-01,501609.0,37.484545499999996,4.322581,0.0,1.0,64.28221149999999,0.1678605955713235,64.19946608973217,0.0979528538700776,35.75082363416468,127.568175,124.30735626518332,167.084925,157.2523776445284,3.0042134315243754,1.689746469378906
1975-11-01,501162.0,35.694928,4.6,0.0,1.0,63.600697,0.17794053074548,63.76963961015706,0.0996295953902425,36.62036725934753,124.731075,122.71913019945599,167.18625,157.34648134035203,3.095075171271213,3.7141013359601436
1975-12-01,501611.0,31.358885,3.9838709999999997,0.0,1.0,53.0524335,0.16932671309316494,58.41647049189064,0.1049230597021981,34.16035196787307,118.8035625,122.32929272961044,155.736525,157.40899956694295,3.0188062911331657,2.4827837959738837
1976-01-01,502956.0,33.294619,3.967742,0.0,1.0,54.545951,0.1671344713415318,58.87868752567696,0.1018527569876778,33.93332894542346,131.215875,121.15399688277228,140.2844625,156.69060112366094,2.9472447661875987,1.1191757829449451
1976-02-01,502957.0,31.599183,4.482759,0.0,1.0,60.518764,0.1771240451992851,62.00847861868945,0.0987379161771268,34.17449359999626,135.8261625,119.87965204532206,158.370975,156.33903414964237,2.723031281138164,
1976-03-01,502958.0,29.063378,4.580645,0.0,1.0,54.557868,0.19317417763497258,51.76657030611617,0.0963488875451065,30.8307075377542,130.202625,118.97593195306035,156.141825,155.68656115746148,2.613410094029618,3.4496704424366813
1976-04-01,502959.0,26.713124,4.533333,0.0,1.0,46.378514,0.17065154150626827,55.37856053701719,0.0975051019075528,30.449216859062968,112.774725,117.3656198829541,162.42397499999998,155.84016118940855,2.7034009810562942,1.380597478973225
1976-05-01,502512.0,25.551684,4.161828,0.0,1.0,47.8765875,0.1783090889660981,47.48556781947558,0.09665419118190435,27.635956864566552,114.801225,116.54886769261347,138.00465,154.93238348897987,2.7159809624578184,
1976-06-01,506545.0,24.390244,3.961538,0.0,0.983333,45.893388,0.1956528309156243,47.69116540818381,0.0930197311356142,26.10142519250677,117.537,115.28215356408523,149.251725,154.72521416118366,2.763339751461862,5.257779145942432
1976-07-01,507442.0,23.228804,3.658537,0.0,1.0,42.210431,0.1697713740730304,48.13838109994929,0.0893105797465,24.48002422005748,119.89280600000001,115.31589235293217,155.939175,154.09101992970162,2.796617678112457,2.6807425841582324
1976-08-01,506995.0,20.755343,3.9677420000000003,0.0,1.0,46.450994,0.19358172275466345,46.43928379153673,0.09301791587685765,23.921477201357774,122.907225,114.6713969478844,166.882275,153.64439741838098,2.767517992947629,
1976-09-01,505652.0,21.95122,3.733333,0.0,1.0,44.146148,0.1807699096788463,45.015570154776206,0.0966688249107309,23.58853232195037,107.100525,113.58477362000215,154.723275,153.55799515106497,2.739812301025537,3.9937241491754736
1976-10-01,504757.0,22.067364,4.140351,0.0,1.0,44.872339,0.1806295760213837,46.220148833090335,0.0965568786411442,22.34108640949582,115.206525,113.15365004007322,144.8440875,153.41605465284763,2.7129943684695905,1.280416198432863
1976-11-01,506102.0,21.815718,4.533333,0.0,1.0,47.443941,0.1966507710657207,49.969713486499,0.09737217093243315,22.652449860784188,124.325775,112.19387585074749,152.088825,153.3037403344655,2.7082312367229493,2.3925957861092155
1976-12-01,505207.0,19.744483,4.790323,0.0,1.0,44.6387575,0.21210112263336456,48.330484998173844,0.09926535319795456,22.329376373430502,113.28135,112.02036488100546,145.8573375,152.18469448356615,2.717732725566989,1.8382510490805957
1977-01-01,505656.0,21.20565,5.258065,0.0,1.0,47.647822,0.2241761684496649,51.15482666426775,0.1068920616462446,21.73894518090402,131.97581250000002,111.32254939748907,165.3624,152.15854820681224,2.8689178531125767,0.7602958707572429
1977-02-01,504761.0,21.279243,5.571429,0.0,1.0,47.691189,0.2196992538143448,52.87099367071245,0.1115332198906591,21.16826971806614,125.03505,110.38715265254696,154.21665,152.26099916645674,2.9258411301982994,1.9578168275668768
1977-03-01,504314.0,20.119141,6.096774,0.0,1.0,48.321155,0.2278446556228912,54.4027568179046,0.12365133398993974,20.58781183990262,128.8854,110.481392373172,153.102075,151.0518435137014,2.7543227697793267,
1977-04-01,502971.0,21.783456,6.1,0.0,1.0,51.62439,0.2376345344894325,59.61338894051509,0.1327629604682284,23.013388521679776,111.558825,110.23740954009062,142.969575,151.33115655594904,2.8144756519861462,2.000763669006878
1977-05-01,503868.0,23.650924,6.064516,0.0,1.0,57.952109,0.2313086197338514,58.72527111731932,0.1516332923570523,23.22558612195293,120.57675,110.07858966025067,151.886175,150.7442466772519,3.034535161233138,
1977-06-01,501629.0,23.1513745,7.1166665,0.0,1.0,65.877565,0.23951108410930436,62.19898939436331,0.15968337195249588,25.564074088386995,117.63832500000001,109.68695536169048,153.710025,151.00946384783296,3.0415932521965257,0.585913186081191
1977-07-01,502974.0,24.053052,9.225806,0.0,1.0,61.71266,0.2646039777066833,64.03712640260468,0.1643455678644463,24.81414843016056,115.05453750000001,109.59122458875166,156.344475,151.02701010508304,2.96486946361398,2.250371716668336
1977-08-01,503423.0,25.6117075,10.193548,0.0,1.0,66.08255600000001,0.2696498946675788,66.22552564653185,0.17573232619970655,25.005296751277143,120.0194625,109.42353257576332,150.467625,151.21210063025788,2.7407678069931145,91.51700863557927
1977-09-01,503872.0,24.825986,9.266667,0.0,1.0,63.664129,0.2694633999579637,69.5247783911258,0.1767460731626033,24.92459959241995,100.210425,108.62978628490586,165.463725,150.9343053038125,2.7105931291181764,7.22034550911228
1977-10-01,502529.0,25.216573,10.645161,0.0,1.0,67.930632,0.3013143294066249,69.70766613036525,0.18006364612088022,24.98519909266714,123.92047500000001,108.60358679177864,166.5276375,150.9324611083889,2.6517460157147985,4.139996391101487
1977-11-01,501634.0,24.545103,11.2,0.0,1.0,72.588366,0.3095637417310152,68.59630101252789,0.17922497240861163,26.23259336262361,126.90956249999999,108.40510808581578,163.99451249999998,150.4589415520266,2.636414082022601,
1977-12-01,499843.0,25.8385435,11.419355,0.0,1.0,66.3125215,0.3195277532960674,69.59379952468598,0.18569484161315294,25.097649933021067,110.545575,108.11733231845236,155.1792375,150.09753357128213,2.657056299229781,
1978-01-01,497604.0,25.888876,11.483871,0.0,1.0,66.71346199999999,0.32393403267406884,70.39470980272193,0.1779760004773767,25.55544286412857,111.25485,107.24368289242662,122.501925,149.96242614914976,2.7081806041218166,
1978-02-01,497605.0,24.763564,11.5,0.0,0.997024,68.285092,0.32942136520929793,66.88558657842457,0.1758898188026954,24.00131743534013,119.36085,106.37686410246323,149.1504,150.10827032445698,2.74926104849245,3.812858605774374
1978-03-01,496710.0,25.851411,8.774194,0.0,0.990591,58.639257,0.3285292529917185,63.48765400762894,0.1725213042509494,26.70107783452753,103.60481250000001,106.15376937185523,148.846425,150.07782997104,2.6849003355483037,0.8581148635540914
1978-04-01,497607.0,26.040712,9.866667,0.0,0.976389,68.426825,0.32458951955092935,64.92786418244378,0.1768777818782632,26.181162717007435,93.6243,105.5547624490254,150.467625,148.98906892693387,2.655529405151765,3.5345340657912248
